Year,Cpv,CountryFrom,CountryTo,EuroTotal
2009,45262800,CH,LI,-9211699.10
2009,45311000,CH,LI,-836436.83
2009,72310000,CH,LT,-40157.4
2009,44000000,CH,LU,1921507.28
2009,09120000,CH,NL,-10000000
2009,31711422,CH,NL,315000
2009,34600000,CH,NO,-382226907.12
2009,35330000,CH,NO,-748456.31
2009,42320000,CH,NO,-148675493.02
2009,24951310,CH,PL,-1367238
2009,33120000,CH,PL,-247416.58
2009,33140000,CH,PL,-186557.22
2009,33141000,CH,PL,-464951.98
2009,33690000,CH,PL,-220122.7
2009,33692000,CH,PL,-184326.42
2009,33696000,CH,PL,-371466.61
2009,33696100,CH,PL,-479155.90
2009,33696200,CH,PL,-1053981.69
2009,33696500,CH,PL,-232292.27
2009,33793000,CH,PL,-1131887.10
2009,38200000,CH,PL,-342192.05
2009,50225000,CH,PL,-8534517.06
2009,71200000,CH,PL,-226915.61
2009,42993000,CH,PT,-904370.86
2009,79952000,CH,PT,-345000
2009,34144210,CH,RO,-2250996.49
2009,35321000,CH,RO,-7684041
2009,42124340,CH,RO,-505765.11
2009,66170000,CH,RO,-267576
2009,72590000,CH,RO,-1317000
2009,33124110,CH,SE,-213642
2009,98300000,CH,SE,1131986.66
2009,50500000,CH,SI,-3172639
2009,32330000,CH,UK,133782.23
2009,32342410,CH,UK,-1255839.65
2009,33111710,CH,UK,-4040676.14
2009,33123220,CH,UK,-1414057.07
2009,35300000,CH,UK,-884824
2009,38000000,CH,UK,-198666.58
2009,50116600,CH,UK,-2469302.09
2009,50420000,CH,UK,-484881.13
2009,50422000,CH,UK,-266011.18
2009,51420000,CH,UK,-1795856.06
2009,98300000,CH,UK,2649006.62
2009,14622000,CN,CY,-1006254.5
2009,31000000,CN,CY,-639900
2009,31320000,CN,CY,-36462426
2009,38124000,CN,DK,-3223120.52
2009,42414500,CN,GR,-18669000
2009,42990000,CN,IE,-1327000
2009,31172000,CN,IS,-1387342
2009,42990000,CN,LT,-36434.46
2009,34911100,CN,UK,-3198868.61
2009,34144212,CR,CZ,-250565.54
2009,31682540,CY,DE,15182717
2009,38300000,CY,DE,150000
2009,73120000,CY,DE,1176000
2009,31000000,CY,DK,52752800
2009,34711400,CY,ES,1363815.6
2009,44212226,CY,FI,24862826.0
2009,38550000,CY,FR,1849000
2009,18110000,CY,GR,295680
2009,18425000,CY,GR,128610
2009,18813000,CY,GR,247762.06
2009,22111000,CY,GR,697844.1
2009,31320000,CY,GR,36462426
2009,31340000,CY,GR,2214806
2009,31625100,CY,GR,467500
2009,31650000,CY,GR,-444000
2009,31711151,CY,GR,-970716.3
2009,33141615,CY,GR,127076.3
2009,33693000,CY,GR,5990400
2009,34310000,CY,GR,273593.2
2009,34330000,CY,GR,1238546.2
2009,34955000,CY,GR,498880
2009,38000000,CY,GR,341789
2009,42924740,CY,GR,-258780
2009,44111511,CY,GR,-387211.85
2009,44165100,CY,GR,210837.8
2009,45233000,CY,GR,820500
2009,48190000,CY,GR,31768349.22
2009,48811000,CY,GR,160158.28
2009,71241000,CY,GR,420000
